Start: 2008-01-20 10:15:36, End: 2008-01-20 10:20:20, Duration: 0:04:43.314497, Max Elevation: 59.30 degrees
Start: 2008-01-20 23:12:05, End: 2008-01-20 23:16:18, Duration: 0:04:13.001524, Max Elevation: 39.25 degrees
Start: 2008-01-21 09:52:53, End: 2008-01-21 09:56:39, Duration: 0:03:45.815069, Max Elevation: 33.04 degrees
Start: 2008-01-21 11:27:27, End: 2008-01-21 11:29:15, Duration: 0:01:48.272396, Max Elevation: 21.87 degrees
Start: 2008-01-21 22:49:45, End: 2008-01-21 22:51:48, Duration: 0:02:02.372219, Max Elevation: 22.53 degrees
Start: 2008-01-22 00:22:30, End: 2008-01-22 00:26:12, Duration: 0:03:42.440073, Max Elevation: 32.08 degrees
Start: 2008-01-22 11:02:52, End: 2008-01-22 11:07:02, Duration: 0:04:10.153380, Max Elevation: 37.97 degrees
Start: 2008-01-22 23:58:51, End: 2008-01-23 00:03:32, Duration: 0:04:40.554624, Max Elevation: 57.21 degrees
Start: 2008-01-23 10:39:14, End: 2008-01-23 10:44:05, Duration: 0:04:50.930187, Max Elevation: 71.18 degrees
Start: 2008-01-23 23:35:31, End: 2008-01-23 23:40:25, Duration: 0:04:53.216514, Max Elevation: 77.47 degrees
Start: 2008-01-24 10:16:04, End: 2008-01-24 10:20:49, Duration: 0:04:45.863024, Max Elevation: 62.33 degrees
Start: 2008-01-24 23:12:34, End: 2008-01-24 23:16:52, Duration: 0:04:18.075245, Max Elevation: 41.22 degrees
Start: 2008-01-25 09:53:22, End: 2008-01-25 09:57:16, Duration: 0:03:53.942082, Max Elevation: 34.55 degrees
Start: 2008-01-25 11:28:17, End: 2008-01-25 11:29:36, Duration: 0:01:19.304297, Max Elevation: 20.95 degrees
Start: 2008-01-25 22:50:14, End: 2008-01-25 22:52:36, Duration: 0:02:22.126850, Max Elevation: 23.57 degrees
Start: 2008-01-26 00:23:10, End: 2008-01-26 00:26:45, Duration: 0:03:34.506421, Max Elevation: 30.70 degrees
Start: 2008-01-26 09:31:38, End: 2008-01-26 09:32:57, Duration: 0:01:18.392091, Max Elevation: 20.99 degrees
Start: 2008-01-26 11:03:36, End: 2008-01-26 11:07:39, Duration: 0:04:02.709043, Max Elevation: 36.10 degrees
Start: 2008-01-26 23:59:35, End: 2008-01-27 00:04:13, Duration: 0:04:38.043673, Max Elevation: 54.12 degrees
Start: 2008-01-27 10:40:00, End: 2008-01-27 10:44:49, Duration: 0:04:49.564955, Max Elevation: 67.17 degrees
Start: 2008-01-27 23:36:20, End: 2008-01-27 23:41:15, Duration: 0:04:54.377401, Max Elevation: 81.97 degrees
Start: 2008-01-28 10:16:53, End: 2008-01-28 10:21:42, Duration: 0:04:48.411873, Max Elevation: 66.20 degrees
Start: 2008-01-28 23:13:26, End: 2008-01-28 23:17:50, Duration: 0:04:24.292230, Max Elevation: 43.75 degrees
Start: 2008-01-29 09:54:15, End: 2008-01-29 09:58:17, Duration: 0:04:01.984968, Max Elevation: 36.48 degrees
Start: 2008-01-29 22:51:05, End: 2008-01-29 22:53:47, Duration: 0:02:41.828091, Max Elevation: 24.89 degrees
Start: 2008-01-30 00:24:15, End: 2008-01-30 00:27:39, Duration: 0:03:23.449953, Max Elevation: 29.15 degrees
Start: 2008-01-30 09:32:24, End: 2008-01-30 09:34:14, Duration: 0:01:50.039475, Max Elevation: 22.06 degrees
Start: 2008-01-30 11:04:44, End: 2008-01-30 11:08:38, Duration: 0:03:54.270747, Max Elevation: 34.02 degrees
Start: 2008-01-31 00:00:42, End: 2008-01-31 00:05:17, Duration: 0:04:34.388453, Max Elevation: 50.72 degrees
Start: 2008-01-31 10:41:09, End: 2008-01-31 10:45:58, Duration: 0:04:48.442209, Max Elevation: 62.68 degrees
Start: 2008-01-31 23:37:32, End: 2008-01-31 23:42:26, Duration: 0:04:54.395868, Max Elevation: 87.36 degrees
Start: 2008-02-01 10:18:06, End: 2008-02-01 10:22:57, Duration: 0:04:50.961809, Max Elevation: 71.01 degrees
Start: 2008-02-01 23:14:40, End: 2008-02-01 23:19:10, Duration: 0:04:30.751418, Max Elevation: 46.96 degrees
Start: 2008-02-02 09:55:29, End: 2008-02-02 09:59:40, Duration: 0:04:10.732013, Max Elevation: 38.92 degrees
Start: 2008-02-02 22:52:19, End: 2008-02-02 22:55:20, Duration: 0:03:01.191172, Max Elevation: 26.53 degrees
Start: 2008-02-03 00:25:44, End: 2008-02-03 00:28:54, Duration: 0:03:09.575637, Max Elevation: 27.47 degrees
Start: 2008-02-03 09:33:34, End: 2008-02-03 09:35:52, Duration: 0:02:17.418124, Max Elevation: 23.37 degrees
Start: 2008-02-03 11:06:16, End: 2008-02-03 11:09:59, Duration: 0:03:43.283037, Max Elevation: 31.80 degrees
Start: 2008-02-04 00:02:13, End: 2008-02-04 00:06:42, Duration: 0:04:29.347362, Max Elevation: 47.12 degrees
Start: 2008-02-04 10:42:43, End: 2008-02-04 10:47:27, Duration: 0:04:43.404779, Max Elevation: 57.87 degrees
Start: 2008-02-04 23:39:06, End: 2008-02-04 23:44:01, Duration: 0:04:54.412927, Max Elevation: 86.42 degrees
Start: 2008-02-05 10:19:42, End: 2008-02-05 10:24:34, Duration: 0:04:52.125432, Max Elevation: 76.86 degrees
Start: 2008-02-05 23:16:17, End: 2008-02-05 23:20:54, Duration: 0:04:36.969972, Max Elevation: 50.99 degrees
Start: 2008-02-06 09:57:07, End: 2008-02-06 10:01:26, Duration: 0:04:18.338128, Max Elevation: 41.98 degrees
Start: 2008-02-06 22:53:56, End: 2008-02-06 22:57:16, Duration: 0:03:20.208972, Max Elevation: 28.55 degrees
Start: 2008-02-07 00:27:38, End: 2008-02-07 00:30:30, Duration: 0:02:51.575412, Max Elevation: 25.71 degrees
Start: 2008-02-07 09:35:09, End: 2008-02-07 09:37:50, Duration: 0:02:41.359254, Max Elevation: 24.98 degrees
Start: 2008-02-07 11:08:12, End: 2008-02-07 11:11:41, Duration: 0:03:29.072735, Max Elevation: 29.49 degrees
Start: 2008-02-08 00:04:08, End: 2008-02-08 00:08:30, Duration: 0:04:21.775647, Max Elevation: 43.43 degrees
Start: 2008-02-08 10:44:40, End: 2008-02-08 10:49:20, Duration: 0:04:39.752738, Max Elevation: 52.89 degrees
Start: 2008-02-08 23:41:03, End: 2008-02-08 23:45:56, Duration: 0:04:53.286560, Max Elevation: 79.50 degrees
Start: 2008-02-09 10:21:40, End: 2008-02-09 10:26:34, Duration: 0:04:54.676052, Max Elevation: 83.78 degrees
Start: 2008-02-09 23:18:17, End: 2008-02-09 23:23:01, Duration: 0:04:43.188245, Max Elevation: 56.01 degrees
Start: 2008-02-10 09:59:07, End: 2008-02-10 10:03:34, Duration: 0:04:27.088030, Max Elevation: 45.80 degrees
Start: 2008-02-10 22:55:55, End: 2008-02-10 22:59:34, Duration: 0:03:38.550897, Max Elevation: 31.05 degrees
Start: 2008-02-11 00:29:57, End: 2008-02-11 00:32:25, Duration: 0:02:27.644663, Max Elevation: 23.90 degrees
Start: 2008-02-11 09:37:06, End: 2008-02-11 09:40:11, Duration: 0:03:04.486507, Max Elevation: 26.95 degrees
Start: 2008-02-11 11:10:34, End: 2008-02-11 11:13:44, Duration: 0:03:09.753104, Max Elevation: 27.15 degrees
Start: 2008-02-12 00:06:25, End: 2008-02-12 00:10:38, Duration: 0:04:13.059017, Max Elevation: 39.74 degrees
Start: 2008-02-12 10:47:00, End: 2008-02-12 10:51:33, Duration: 0:04:32.184161, Max Elevation: 47.91 degrees
Start: 2008-02-12 23:43:24, End: 2008-02-12 23:48:16, Duration: 0:04:51.918393, Max Elevation: 72.14 degrees
Start: 2008-02-13 10:24:02, End: 2008-02-13 10:28:57, Duration: 0:04:54.697456, Max Elevation: 88.31 degrees
Start: 2008-02-13 23:20:40, End: 2008-02-13 23:25:28, Duration: 0:04:48.263011, Max Elevation: 62.24 degrees
Start: 2008-02-14 10:01:30, End: 2008-02-14 10:06:05, Duration: 0:04:34.696237, Max Elevation: 50.60 degrees
Start: 2008-02-14 22:58:19, End: 2008-02-14 23:02:14, Duration: 0:03:54.997236, Max Elevation: 34.13 degrees
Start: 2008-02-15 00:32:44, End: 2008-02-15 00:34:36, Duration: 0:01:51.212392, Max Elevation: 22.07 degrees
Start: 2008-02-15 09:39:28, End: 2008-02-15 09:42:53, Duration: 0:03:24.505510, Max Elevation: 29.35 degrees
Start: 2008-02-15 11:13:23, End: 2008-02-15 11:16:05, Duration: 0:02:42.306744, Max Elevation: 24.80 degrees
Start: 2008-02-16 00:09:06, End: 2008-02-16 00:13:08, Duration: 0:04:02.139182, Max Elevation: 36.14 degrees
Start: 2008-02-16 10:49:45, End: 2008-02-16 10:54:08, Duration: 0:04:23.471031, Max Elevation: 43.06 degrees
Start: 2008-02-16 23:46:07, End: 2008-02-16 23:50:55, Duration: 0:04:48.260918, Max Elevation: 64.64 degrees
Start: 2008-02-17 10:26:46, End: 2008-02-17 10:31:41, Duration: 0:04:54.719624, Max Elevation: 79.66 degrees
Start: 2008-02-17 23:23:27, End: 2008-02-17 23:28:18, Duration: 0:04:50.809809, Max Elevation: 69.85 degrees
Start: 2008-02-18 10:04:15, End: 2008-02-18 10:08:59, Duration: 0:04:43.448714, Max Elevation: 56.61 degrees
Start: 2008-02-18 23:01:06, End: 2008-02-18 23:05:16, Duration: 0:04:09.374548, Max Elevation: 37.98 degrees
Start: 2008-02-19 09:42:13, End: 2008-02-19 09:45:56, Duration: 0:03:43.716267, Max Elevation: 32.32 degrees
Start: 2008-02-19 11:16:40, End: 2008-02-19 11:18:43, Duration: 0:02:03.316249, Max Elevation: 22.50 degrees
Start: 2008-02-19 22:39:29, End: 2008-02-19 22:41:25, Duration: 0:01:56.821535, Max Elevation: 22.25 degrees
Start: 2008-02-20 00:12:11, End: 2008-02-20 00:15:58, Duration: 0:03:46.513074, Max Elevation: 32.69 degrees
Start: 2008-02-20 10:52:53, End: 2008-02-20 10:57:05, Duration: 0:04:12.647232, Max Elevation: 38.45 degrees
Start: 2008-02-20 23:49:14, End: 2008-02-20 23:53:57, Duration: 0:04:43.218420, Max Elevation: 57.31 degrees
