Start: 2023-06-18 06:43:08, End: 2023-06-18 06:47:24, Duration: 0:04:15.730337, Max Elevation: 37.48 degrees
Start: 2023-06-18 15:55:56, End: 2023-06-18 15:59:18, Duration: 0:03:21.728417, Max Elevation: 27.99 degrees
Start: 2023-06-18 17:29:45, End: 2023-06-18 17:33:40, Duration: 0:03:54.768873, Max Elevation: 32.23 degrees
Start: 2023-06-19 06:29:16, End: 2023-06-19 06:34:03, Duration: 0:04:46.767505, Max Elevation: 51.16 degrees
Start: 2023-06-19 15:43:13, End: 2023-06-19 15:44:55, Duration: 0:01:41.832439, Max Elevation: 21.59 degrees
Start: 2023-06-19 17:15:40, End: 2023-06-19 17:20:17, Duration: 0:04:37.190812, Max Elevation: 44.24 degrees
Start: 2023-06-20 06:15:30, End: 2023-06-20 06:20:33, Duration: 0:05:03.276850, Max Elevation: 71.43 degrees
Start: 2023-06-20 17:01:47, End: 2023-06-20 17:06:46, Duration: 0:04:59.682220, Max Elevation: 62.19 degrees
Start: 2023-06-21 06:01:48, End: 2023-06-21 06:06:55, Duration: 0:05:06.882222, Max Elevation: 82.90 degrees
Start: 2023-06-21 16:48:01, End: 2023-06-21 16:53:09, Duration: 0:05:07.607545, Max Elevation: 86.64 degrees
Start: 2023-06-22 05:48:12, End: 2023-06-22 05:53:09, Duration: 0:04:56.936149, Max Elevation: 59.16 degrees
Start: 2023-06-22 16:34:24, End: 2023-06-22 16:39:26, Duration: 0:05:02.181744, Max Elevation: 68.11 degrees
Start: 2023-06-23 05:34:41, End: 2023-06-23 05:39:12, Duration: 0:04:31.678470, Max Elevation: 42.14 degrees
Start: 2023-06-23 07:09:52, End: 2023-06-23 07:11:54, Duration: 0:02:02.019414, Max Elevation: 22.36 degrees
Start: 2023-06-23 16:20:54, End: 2023-06-23 16:25:37, Duration: 0:04:43.672330, Max Elevation: 48.83 degrees
Start: 2023-06-24 05:21:18, End: 2023-06-24 05:25:03, Duration: 0:03:45.337140, Max Elevation: 30.78 degrees
Start: 2023-06-24 06:55:32, End: 2023-06-24 06:59:02, Duration: 0:03:30.622314, Max Elevation: 29.07 degrees
Start: 2023-06-24 16:07:32, End: 2023-06-24 16:11:42, Duration: 0:04:09.721156, Max Elevation: 35.90 degrees
Start: 2023-06-24 17:42:27, End: 2023-06-24 17:45:15, Duration: 0:02:47.068094, Max Elevation: 24.71 degrees
Start: 2023-06-25 05:08:15, End: 2023-06-25 05:10:31, Duration: 0:02:16.477031, Max Elevation: 22.94 degrees
Start: 2023-06-25 06:41:30, End: 2023-06-25 06:45:49, Duration: 0:04:19.781532, Max Elevation: 38.66 degrees
Start: 2023-06-25 15:54:23, End: 2023-06-25 15:57:37, Duration: 0:03:13.828199, Max Elevation: 27.17 degrees
Start: 2023-06-25 17:28:03, End: 2023-06-25 17:32:04, Duration: 0:04:00.210284, Max Elevation: 33.28 degrees
Start: 2023-06-26 06:27:35, End: 2023-06-26 06:32:25, Duration: 0:04:49.222410, Max Elevation: 53.02 degrees
Start: 2023-06-26 15:41:43, End: 2023-06-26 15:43:04, Duration: 0:01:20.628531, Max Elevation: 20.97 degrees
Start: 2023-06-26 17:13:57, End: 2023-06-26 17:18:37, Duration: 0:04:40.255088, Max Elevation: 45.88 degrees
Start: 2023-06-27 06:13:47, End: 2023-06-27 06:18:51, Duration: 0:05:04.158157, Max Elevation: 74.16 degrees
Start: 2023-06-27 17:00:01, End: 2023-06-27 17:05:02, Duration: 0:05:01.124900, Max Elevation: 64.71 degrees
Start: 2023-06-28 06:00:02, End: 2023-06-28 06:05:09, Duration: 0:05:06.144185, Max Elevation: 79.84 degrees
Start: 2023-06-28 16:46:14, End: 2023-06-28 16:51:21, Duration: 0:05:07.232452, Max Elevation: 89.78 degrees
Start: 2023-06-29 05:46:23, End: 2023-06-29 05:51:18, Duration: 0:04:54.613087, Max Elevation: 56.71 degrees
Start: 2023-06-29 16:32:34, End: 2023-06-29 16:37:34, Duration: 0:05:00.385738, Max Elevation: 65.33 degrees
Start: 2023-06-30 05:32:50, End: 2023-06-30 05:37:17, Duration: 0:04:27.161616, Max Elevation: 40.45 degrees
Start: 2023-06-30 07:07:52, End: 2023-06-30 07:10:09, Duration: 0:02:17.347595, Max Elevation: 23.08 degrees
Start: 2023-06-30 16:19:02, End: 2023-06-30 16:23:42, Duration: 0:04:40.035777, Max Elevation: 46.85 degrees
Start: 2023-07-01 05:19:26, End: 2023-07-01 05:23:03, Duration: 0:03:37.003490, Max Elevation: 29.60 degrees
Start: 2023-07-01 06:53:33, End: 2023-07-01 06:57:11, Duration: 0:03:38.311429, Max Elevation: 30.11 degrees
Start: 2023-07-01 16:05:38, End: 2023-07-01 16:09:42, Duration: 0:04:03.722034, Max Elevation: 34.54 degrees
Start: 2023-07-01 17:40:23, End: 2023-07-01 17:43:22, Duration: 0:02:59.406672, Max Elevation: 25.65 degrees
Start: 2023-07-02 05:06:25, End: 2023-07-02 05:08:22, Duration: 0:01:56.791279, Max Elevation: 22.07 degrees
Start: 2023-07-02 06:39:29, End: 2023-07-02 06:43:53, Duration: 0:04:24.623107, Max Elevation: 40.24 degrees
Start: 2023-07-02 15:52:28, End: 2023-07-02 15:55:32, Duration: 0:03:03.331776, Max Elevation: 26.20 degrees
Start: 2023-07-02 17:25:59, End: 2023-07-02 17:30:06, Duration: 0:04:06.885846, Max Elevation: 34.68 degrees
Start: 2023-07-03 06:25:32, End: 2023-07-03 06:30:24, Duration: 0:04:52.018653, Max Elevation: 55.48 degrees
Start: 2023-07-03 17:11:51, End: 2023-07-03 17:16:35, Duration: 0:04:43.889790, Max Elevation: 48.05 degrees
Start: 2023-07-04 06:11:41, End: 2023-07-04 06:16:46, Duration: 0:05:05.238296, Max Elevation: 77.67 degrees
Start: 2023-07-04 16:57:53, End: 2023-07-04 17:02:56, Duration: 0:05:02.533383, Max Elevation: 67.96 degrees
Start: 2023-07-05 05:57:54, End: 2023-07-05 06:02:59, Duration: 0:05:05.406189, Max Elevation: 76.14 degrees
Start: 2023-07-05 16:44:04, End: 2023-07-05 16:49:11, Duration: 0:05:06.856674, Max Elevation: 86.34 degrees
Start: 2023-07-06 05:44:12, End: 2023-07-06 05:49:04, Duration: 0:04:51.693610, Max Elevation: 53.86 degrees
Start: 2023-07-06 16:30:22, End: 2023-07-06 16:35:20, Duration: 0:04:58.027352, Max Elevation: 62.08 degrees
Start: 2023-07-07 05:30:37, End: 2023-07-07 05:34:58, Duration: 0:04:21.253864, Max Elevation: 38.50 degrees
Start: 2023-07-07 07:05:29, End: 2023-07-07 07:08:03, Duration: 0:02:33.768950, Max Elevation: 24.00 degrees
Start: 2023-07-07 16:16:48, End: 2023-07-07 16:21:23, Duration: 0:04:35.346565, Max Elevation: 44.59 degrees
Start: 2023-07-08 05:17:12, End: 2023-07-08 05:20:38, Duration: 0:03:26.077498, Max Elevation: 28.25 degrees
Start: 2023-07-08 06:51:10, End: 2023-07-08 06:54:58, Duration: 0:03:47.088569, Max Elevation: 31.44 degrees
Start: 2023-07-08 16:03:23, End: 2023-07-08 16:07:19, Duration: 0:03:55.911736, Max Elevation: 32.99 degrees
Start: 2023-07-08 17:37:56, End: 2023-07-08 17:41:08, Duration: 0:03:12.961698, Max Elevation: 26.85 degrees
Start: 2023-07-09 05:04:18, End: 2023-07-09 05:05:44, Duration: 0:01:26.028903, Max Elevation: 21.08 degrees
Start: 2023-07-09 06:37:05, End: 2023-07-09 06:41:35, Duration: 0:04:29.955768, Max Elevation: 42.27 degrees
Start: 2023-07-09 15:50:13, End: 2023-07-09 15:53:03, Duration: 0:02:49.634767, Max Elevation: 25.09 degrees
Start: 2023-07-09 17:23:31, End: 2023-07-09 17:27:46, Duration: 0:04:14.089348, Max Elevation: 36.47 degrees
Start: 2023-07-10 06:23:06, End: 2023-07-10 06:28:01, Duration: 0:04:55.111818, Max Elevation: 58.63 degrees
Start: 2023-07-10 17:09:22, End: 2023-07-10 17:14:10, Duration: 0:04:47.954262, Max Elevation: 50.83 degrees
Start: 2023-07-11 06:09:12, End: 2023-07-11 06:14:19, Duration: 0:05:06.284317, Max Elevation: 81.98 degrees
