Start: 2023-06-25 17:25:15, End: 2023-06-25 17:29:30, Duration: 0:04:14.319562, Max Elevation: 37.39 degrees
Start: 2023-06-26 06:31:17, End: 2023-06-26 06:36:13, Duration: 0:04:55.551445, Max Elevation: 59.76 degrees
Start: 2023-06-26 17:12:15, End: 2023-06-26 17:15:14, Duration: 0:02:59.452939, Max Elevation: 25.92 degrees
Start: 2023-06-27 06:17:50, End: 2023-06-27 06:22:11, Duration: 0:04:21.199267, Max Elevation: 38.95 degrees
Start: 2023-06-27 18:32:19, End: 2023-06-27 18:35:47, Duration: 0:03:28.197020, Max Elevation: 28.60 degrees
Start: 2023-06-28 06:04:40, End: 2023-06-28 06:07:48, Duration: 0:03:07.124995, Max Elevation: 26.44 degrees
Start: 2023-06-28 18:18:01, End: 2023-06-28 18:22:33, Duration: 0:04:31.094607, Max Elevation: 42.46 degrees
Start: 2023-06-29 07:24:54, End: 2023-06-29 07:28:14, Duration: 0:03:19.392562, Max Elevation: 27.86 degrees
Start: 2023-06-29 18:04:02, End: 2023-06-29 18:09:02, Duration: 0:04:59.745427, Max Elevation: 65.57 degrees
Start: 2023-06-30 07:10:42, End: 2023-06-30 07:15:06, Duration: 0:04:24.185290, Max Elevation: 40.56 degrees
Start: 2023-06-30 17:50:15, End: 2023-06-30 17:55:20, Duration: 0:05:04.715185, Max Elevation: 81.87 degrees
Start: 2023-07-01 06:56:44, End: 2023-07-01 07:01:40, Duration: 0:04:56.220240, Max Elevation: 61.82 degrees
Start: 2023-07-01 17:36:40, End: 2023-07-01 17:41:29, Duration: 0:04:48.328390, Max Elevation: 53.28 degrees
Start: 2023-07-02 06:42:56, End: 2023-07-02 06:48:01, Duration: 0:05:05.042280, Max Elevation: 86.51 degrees
Start: 2023-07-02 17:23:19, End: 2023-07-02 17:27:26, Duration: 0:04:06.747686, Max Elevation: 35.48 degrees
Start: 2023-07-03 06:29:16, End: 2023-07-03 06:34:09, Duration: 0:04:52.305677, Max Elevation: 56.24 degrees
Start: 2023-07-03 17:10:20, End: 2023-07-03 17:13:03, Duration: 0:02:43.233755, Max Elevation: 24.68 degrees
Start: 2023-07-03 18:45:08, End: 2023-07-03 18:46:24, Duration: 0:01:15.456280, Max Elevation: 20.83 degrees
Start: 2023-07-04 06:15:48, End: 2023-07-04 06:20:01, Duration: 0:04:13.602527, Max Elevation: 36.79 degrees
Start: 2023-07-04 18:30:06, End: 2023-07-04 18:33:45, Duration: 0:03:39.804762, Max Elevation: 30.17 degrees
Start: 2023-07-05 06:02:40, End: 2023-07-05 06:05:30, Duration: 0:02:50.297607, Max Elevation: 25.06 degrees
Start: 2023-07-05 07:37:29, End: 2023-07-05 07:38:39, Duration: 0:01:09.698194, Max Elevation: 20.72 degrees
Start: 2023-07-05 18:15:48, End: 2023-07-05 18:20:25, Duration: 0:04:36.691478, Max Elevation: 45.13 degrees
Start: 2023-07-06 07:22:37, End: 2023-07-06 07:26:08, Duration: 0:03:31.964410, Max Elevation: 29.38 degrees
Start: 2023-07-06 18:01:47, End: 2023-07-06 18:06:49, Duration: 0:05:01.514116, Max Elevation: 70.03 degrees
Start: 2023-07-07 07:08:24, End: 2023-07-07 07:12:55, Duration: 0:04:30.647295, Max Elevation: 43.13 degrees
Start: 2023-07-07 17:47:59, End: 2023-07-07 17:53:03, Duration: 0:05:03.286185, Max Elevation: 76.80 degrees
Start: 2023-07-08 06:54:25, End: 2023-07-08 06:59:23, Duration: 0:04:58.918716, Max Elevation: 66.19 degrees
Start: 2023-07-08 17:34:23, End: 2023-07-08 17:39:07, Duration: 0:04:43.300213, Max Elevation: 49.78 degrees
Start: 2023-07-09 06:40:34, End: 2023-07-09 06:45:39, Duration: 0:05:04.705448, Max Elevation: 81.11 degrees
Start: 2023-07-09 17:21:02, End: 2023-07-09 17:24:58, Duration: 0:03:56.666872, Max Elevation: 33.35 degrees
Start: 2023-07-10 06:26:53, End: 2023-07-10 06:31:41, Duration: 0:04:47.969913, Max Elevation: 52.32 degrees
Start: 2023-07-10 17:08:06, End: 2023-07-10 17:10:27, Duration: 0:02:20.511328, Max Elevation: 23.28 degrees
Start: 2023-07-10 18:42:20, End: 2023-07-10 18:44:17, Duration: 0:01:56.834852, Max Elevation: 22.11 degrees
Start: 2023-07-11 06:13:24, End: 2023-07-11 06:17:28, Duration: 0:04:03.785762, Max Elevation: 34.41 degrees
Start: 2023-07-11 18:27:29, End: 2023-07-11 18:31:22, Duration: 0:03:52.326038, Max Elevation: 32.19 degrees
Start: 2023-07-12 06:00:20, End: 2023-07-12 06:02:46, Duration: 0:02:26.700914, Max Elevation: 23.53 degrees
Start: 2023-07-12 07:34:37, End: 2023-07-12 07:36:30, Duration: 0:01:52.208243, Max Elevation: 21.98 degrees
Start: 2023-07-12 18:13:12, End: 2023-07-12 18:17:55, Duration: 0:04:42.587283, Max Elevation: 48.60 degrees
Start: 2023-07-13 07:19:56, End: 2023-07-13 07:23:42, Duration: 0:03:45.463190, Max Elevation: 31.33 degrees
Start: 2023-07-13 17:59:10, End: 2023-07-13 18:04:14, Duration: 0:05:03.282523, Max Elevation: 75.62 degrees
Start: 2023-07-14 07:05:43, End: 2023-07-14 07:10:21, Duration: 0:04:37.672966, Max Elevation: 46.45 degrees
Start: 2023-07-14 17:45:22, End: 2023-07-14 17:50:23, Duration: 0:05:01.128562, Max Elevation: 71.07 degrees
Start: 2023-07-15 06:51:42, End: 2023-07-15 06:56:44, Duration: 0:05:01.617998, Max Elevation: 71.69 degrees
Start: 2023-07-15 17:31:45, End: 2023-07-15 17:36:22, Duration: 0:04:36.780555, Max Elevation: 46.04 degrees
Start: 2023-07-16 06:37:51, End: 2023-07-16 06:42:54, Duration: 0:05:03.241445, Max Elevation: 74.97 degrees
Start: 2023-07-16 17:18:23, End: 2023-07-16 17:22:07, Duration: 0:03:43.678449, Max Elevation: 31.07 degrees
Start: 2023-07-17 06:24:09, End: 2023-07-17 06:28:51, Duration: 0:04:42.015932, Max Elevation: 48.15 degrees
Start: 2023-07-17 17:05:35, End: 2023-07-17 17:07:22, Duration: 0:01:46.678238, Max Elevation: 21.78 degrees
Start: 2023-07-17 18:39:14, End: 2023-07-17 18:41:44, Duration: 0:02:29.913892, Max Elevation: 23.71 degrees
Start: 2023-07-18 06:10:40, End: 2023-07-18 06:14:31, Duration: 0:03:50.884646, Max Elevation: 31.89 degrees
Start: 2023-07-18 18:24:30, End: 2023-07-18 18:28:35, Duration: 0:04:05.220476, Max Elevation: 34.76 degrees
Start: 2023-07-19 05:57:43, End: 2023-07-19 05:59:34, Duration: 0:01:51.008933, Max Elevation: 21.88 degrees
Start: 2023-07-19 07:31:28, End: 2023-07-19 07:33:54, Duration: 0:02:25.484948, Max Elevation: 23.54 degrees
Start: 2023-07-19 18:10:13, End: 2023-07-19 18:15:02, Duration: 0:04:48.556794, Max Elevation: 53.04 degrees
Start: 2023-07-20 07:16:53, End: 2023-07-20 07:20:52, Duration: 0:03:58.962011, Max Elevation: 33.81 degrees
Start: 2023-07-20 17:56:11, End: 2023-07-20 18:01:16, Duration: 0:05:04.523313, Max Elevation: 82.38 degrees
Start: 2023-07-21 07:02:40, End: 2023-07-21 07:07:25, Duration: 0:04:44.660818, Max Elevation: 50.69 degrees
Start: 2023-07-21 17:42:22, End: 2023-07-21 17:47:20, Duration: 0:04:57.880863, Max Elevation: 64.88 degrees
Start: 2023-07-22 06:48:38, End: 2023-07-22 06:53:42, Duration: 0:05:03.953451, Max Elevation: 78.41 degrees
Start: 2023-07-22 17:28:45, End: 2023-07-22 17:33:13, Duration: 0:04:28.116309, Max Elevation: 42.18 degrees
Start: 2023-07-23 06:34:45, End: 2023-07-23 06:39:46, Duration: 0:05:00.886318, Max Elevation: 68.28 degrees
Start: 2023-07-23 17:15:25, End: 2023-07-23 17:18:52, Duration: 0:03:26.439275, Max Elevation: 28.70 degrees
Start: 2023-07-24 06:21:02, End: 2023-07-24 06:25:37, Duration: 0:04:34.119656, Max Elevation: 43.86 degrees
Start: 2023-07-24 18:35:47, End: 2023-07-24 18:38:46, Duration: 0:02:58.673342, Max Elevation: 25.72 degrees
Start: 2023-07-25 06:07:35, End: 2023-07-25 06:11:08, Duration: 0:03:33.444427, Max Elevation: 29.28 degrees
Start: 2023-07-25 18:21:08, End: 2023-07-25 18:25:26, Duration: 0:04:17.749558, Max Elevation: 38.03 degrees
Start: 2023-07-26 07:27:59, End: 2023-07-26 07:30:53, Duration: 0:02:54.214143, Max Elevation: 25.48 degrees
Start: 2023-07-26 18:06:52, End: 2023-07-26 18:11:47, Duration: 0:04:54.287601, Max Elevation: 58.69 degrees
Start: 2023-07-27 07:13:28, End: 2023-07-27 07:17:40, Duration: 0:04:12.421362, Max Elevation: 36.93 degrees
Start: 2023-07-27 17:52:50, End: 2023-07-27 17:57:55, Duration: 0:05:04.874186, Max Elevation: 89.72 degrees
Start: 2023-07-28 06:59:15, End: 2023-07-28 07:04:06, Duration: 0:04:51.322580, Max Elevation: 56.08 degrees
Start: 2023-07-28 17:39:00, End: 2023-07-28 17:43:53, Duration: 0:04:53.015068, Max Elevation: 58.49 degrees
Start: 2023-07-29 06:45:12, End: 2023-07-29 06:50:17, Duration: 0:05:05.197902, Max Elevation: 86.37 degrees
Start: 2023-07-29 17:25:24, End: 2023-07-29 17:29:41, Duration: 0:04:16.782353, Max Elevation: 38.32 degrees
Start: 2023-07-30 06:31:18, End: 2023-07-30 06:36:15, Duration: 0:04:56.951799, Max Elevation: 61.34 degrees
Start: 2023-07-30 17:12:07, End: 2023-07-30 17:15:11, Duration: 0:03:03.545735, Max Elevation: 26.31 degrees
Start: 2023-07-31 06:17:35, End: 2023-07-31 06:21:58, Duration: 0:04:23.277832, Max Elevation: 39.60 degrees
Start: 2023-07-31 18:31:59, End: 2023-07-31 18:35:24, Duration: 0:03:24.336410, Max Elevation: 28.22 degrees
Start: 2023-08-01 06:04:10, End: 2023-08-01 06:07:20, Duration: 0:03:09.636670, Max Elevation: 26.66 degrees
Start: 2023-08-01 18:17:25, End: 2023-08-01 18:21:54, Duration: 0:04:29.681821, Max Elevation: 42.20 degrees
Start: 2023-08-02 07:24:08, End: 2023-08-02 07:27:28, Duration: 0:03:19.682481, Max Elevation: 27.88 degrees
Start: 2023-08-02 18:03:09, End: 2023-08-02 18:08:08, Duration: 0:04:59.127205, Max Elevation: 65.77 degrees
Start: 2023-08-03 07:09:40, End: 2023-08-03 07:14:05, Duration: 0:04:25.391037, Max Elevation: 40.89 degrees
Start: 2023-08-03 17:49:07, End: 2023-08-03 17:54:11, Duration: 0:05:03.970268, Max Elevation: 80.94 degrees
Start: 2023-08-04 06:55:27, End: 2023-08-04 07:00:24, Duration: 0:04:57.057169, Max Elevation: 62.87 degrees
Start: 2023-08-04 17:35:17, End: 2023-08-04 17:40:04, Duration: 0:04:46.294363, Max Elevation: 52.17 degrees
Start: 2023-08-05 06:41:23, End: 2023-08-05 06:46:29, Duration: 0:05:05.350989, Max Elevation: 84.59 degrees
Start: 2023-08-05 17:21:42, End: 2023-08-05 17:25:44, Duration: 0:04:02.213492, Max Elevation: 34.55 degrees
Start: 2023-08-06 06:27:29, End: 2023-08-06 06:32:20, Duration: 0:04:50.636243, Max Elevation: 54.42 degrees
Start: 2023-08-06 17:08:31, End: 2023-08-06 17:11:03, Duration: 0:02:31.627059, Max Elevation: 23.92 degrees
Start: 2023-08-06 18:43:00, End: 2023-08-06 18:44:38, Duration: 0:01:38.104316, Max Elevation: 21.45 degrees
Start: 2023-08-07 06:13:47, End: 2023-08-07 06:17:55, Duration: 0:04:08.477872, Max Elevation: 35.45 degrees
Start: 2023-08-07 18:27:50, End: 2023-08-07 18:31:37, Duration: 0:03:47.400335, Max Elevation: 31.36 degrees
Start: 2023-08-08 06:00:28, End: 2023-08-08 06:03:03, Duration: 0:02:35.764956, Max Elevation: 24.06 degrees
Start: 2023-08-08 07:34:54, End: 2023-08-08 07:36:35, Duration: 0:01:40.909692, Max Elevation: 21.57 degrees
Start: 2023-08-08 18:13:19, End: 2023-08-08 18:17:59, Duration: 0:04:40.602944, Max Elevation: 47.54 degrees
Start: 2023-08-09 07:19:56, End: 2023-08-09 07:23:39, Duration: 0:03:42.722711, Max Elevation: 30.87 degrees
Start: 2023-08-09 17:59:04, End: 2023-08-09 18:04:07, Duration: 0:05:02.712501, Max Elevation: 74.48 degrees
Start: 2023-08-10 07:05:30, End: 2023-08-10 07:10:07, Duration: 0:04:36.905358, Max Elevation: 45.94 degrees
Start: 2023-08-10 17:45:02, End: 2023-08-10 17:50:04, Duration: 0:05:01.248577, Max Elevation: 71.67 degrees
Start: 2023-08-11 06:51:17, End: 2023-08-11 06:56:19, Duration: 0:05:01.737128, Max Elevation: 71.32 degrees
Start: 2023-08-11 17:31:14, End: 2023-08-11 17:35:50, Duration: 0:04:36.777618, Max Elevation: 46.12 degrees
Start: 2023-08-12 06:37:13, End: 2023-08-12 06:42:17, Duration: 0:05:03.561701, Max Elevation: 74.88 degrees
Start: 2023-08-12 17:17:40, End: 2023-08-12 17:21:23, Duration: 0:03:42.755541, Max Elevation: 30.94 degrees
Start: 2023-08-13 06:23:19, End: 2023-08-13 06:28:01, Duration: 0:04:41.612152, Max Elevation: 47.79 degrees
Start: 2023-08-13 17:04:42, End: 2023-08-13 17:06:23, Duration: 0:01:41.267807, Max Elevation: 21.59 degrees
Start: 2023-08-13 18:38:15, End: 2023-08-13 18:40:49, Duration: 0:02:33.754266, Max Elevation: 23.94 degrees
Start: 2023-08-14 06:09:38, End: 2023-08-14 06:13:27, Duration: 0:03:48.482728, Max Elevation: 31.49 degrees
Start: 2023-08-14 18:23:20, End: 2023-08-14 18:27:27, Duration: 0:04:07.718793, Max Elevation: 35.33 degrees
Start: 2023-08-15 05:56:33, End: 2023-08-15 05:58:13, Duration: 0:01:40.134037, Max Elevation: 21.51 degrees
Start: 2023-08-15 07:30:09, End: 2023-08-15 07:32:42, Duration: 0:02:32.469501, Max Elevation: 23.95 degrees
Start: 2023-08-15 18:08:51, End: 2023-08-15 18:13:41, Duration: 0:04:50.094263, Max Elevation: 54.38 degrees
Start: 2023-08-16 07:15:23, End: 2023-08-16 07:19:26, Duration: 0:04:03.051830, Max Elevation: 34.64 degrees
Start: 2023-08-16 17:54:37, End: 2023-08-16 17:59:42, Duration: 0:05:04.880382, Max Elevation: 84.79 degrees
Start: 2023-08-17 07:00:59, End: 2023-08-17 07:05:46, Duration: 0:04:47.165813, Max Elevation: 52.43 degrees
Start: 2023-08-17 17:40:37, End: 2023-08-17 17:45:33, Duration: 0:04:56.382983, Max Elevation: 62.47 degrees
Start: 2023-08-18 06:46:45, End: 2023-08-18 06:51:50, Duration: 0:05:04.473223, Max Elevation: 81.52 degrees
Start: 2023-08-18 17:26:49, End: 2023-08-18 17:31:13, Duration: 0:04:23.825525, Max Elevation: 40.50 degrees
Start: 2023-08-19 06:32:41, End: 2023-08-19 06:37:41, Duration: 0:04:59.227506, Max Elevation: 65.06 degrees
Start: 2023-08-19 17:13:20, End: 2023-08-19 17:16:36, Duration: 0:03:16.466486, Max Elevation: 27.54 degrees
Start: 2023-08-20 06:18:48, End: 2023-08-20 06:23:16, Duration: 0:04:28.678366, Max Elevation: 41.63 degrees
Start: 2023-08-20 18:33:15, End: 2023-08-20 18:36:28, Duration: 0:03:13.241358, Max Elevation: 27.03 degrees
Start: 2023-08-21 06:05:11, End: 2023-08-21 06:08:32, Duration: 0:03:20.699615, Max Elevation: 27.77 degrees
Start: 2023-08-21 18:18:28, End: 2023-08-21 18:22:53, Duration: 0:04:25.199929, Max Elevation: 40.43 degrees
Start: 2023-08-22 07:25:09, End: 2023-08-22 07:28:19, Duration: 0:03:10.319547, Max Elevation: 26.90 degrees
Start: 2023-08-22 18:04:02, End: 2023-08-22 18:08:59, Duration: 0:04:57.678892, Max Elevation: 63.11 degrees
Start: 2023-08-23 07:10:29, End: 2023-08-23 07:14:50, Duration: 0:04:21.036806, Max Elevation: 39.47 degrees
Start: 2023-08-23 17:49:49, End: 2023-08-23 17:54:54, Duration: 0:05:04.465136, Max Elevation: 83.69 degrees
Start: 2023-08-24 06:56:05, End: 2023-08-24 07:01:01, Duration: 0:04:55.243661, Max Elevation: 60.79 degrees
Start: 2023-08-24 17:35:50, End: 2023-08-24 17:40:38, Duration: 0:04:48.445509, Max Elevation: 53.81 degrees
Start: 2023-08-25 06:41:52, End: 2023-08-25 06:46:57, Duration: 0:05:05.154571, Max Elevation: 86.80 degrees
Start: 2023-08-25 17:22:04, End: 2023-08-25 17:26:10, Duration: 0:04:06.149219, Max Elevation: 35.37 degrees
Start: 2023-08-26 06:27:48, End: 2023-08-26 06:32:40, Duration: 0:04:51.858606, Max Elevation: 55.70 degrees
Start: 2023-08-26 17:08:43, End: 2023-08-26 17:11:21, Duration: 0:02:38.309663, Max Elevation: 24.35 degrees
Start: 2023-08-26 18:43:21, End: 2023-08-26 18:44:47, Duration: 0:01:25.928723, Max Elevation: 21.09 degrees
Start: 2023-08-27 06:13:56, End: 2023-08-27 06:18:07, Duration: 0:04:10.621332, Max Elevation: 36.03 degrees
Start: 2023-08-27 18:27:57, End: 2023-08-27 18:31:42, Duration: 0:03:44.830484, Max Elevation: 30.94 degrees
Start: 2023-08-28 06:00:27, End: 2023-08-28 06:03:07, Duration: 0:02:39.474412, Max Elevation: 24.31 degrees
Start: 2023-08-28 07:34:59, End: 2023-08-28 07:36:31, Duration: 0:01:32.816354, Max Elevation: 21.32 degrees
