Start: 2008-01-22 22:25:07, End: 2008-01-22 22:29:58, Duration: 0:04:50.813671, Max Elevation: 71.68 degrees
Start: 2008-01-23 09:04:46, End: 2008-01-23 09:09:17, Duration: 0:04:30.778173, Max Elevation: 48.43 degrees
Start: 2008-01-23 22:02:12, End: 2008-01-23 22:06:18, Duration: 0:04:06.294701, Max Elevation: 37.29 degrees
Start: 2008-01-24 08:42:21, End: 2008-01-24 08:45:28, Duration: 0:03:07.064726, Max Elevation: 27.29 degrees
Start: 2008-01-24 10:16:08, End: 2008-01-24 10:18:41, Duration: 0:02:33.027856, Max Elevation: 24.22 degrees
Start: 2008-01-24 21:40:13, End: 2008-01-24 21:41:37, Duration: 0:01:23.388886, Max Elevation: 21.10 degrees
Start: 2008-01-24 23:12:41, End: 2008-01-24 23:16:18, Duration: 0:03:36.796008, Max Elevation: 31.21 degrees
Start: 2008-01-25 09:51:55, End: 2008-01-25 09:56:18, Duration: 0:04:23.498108, Max Elevation: 43.63 degrees
Start: 2008-01-25 22:49:03, End: 2008-01-25 22:53:44, Duration: 0:04:41.163190, Max Elevation: 56.89 degrees
Start: 2008-01-26 09:28:27, End: 2008-01-26 09:33:21, Duration: 0:04:53.751615, Max Elevation: 83.98 degrees
Start: 2008-01-26 22:25:49, End: 2008-01-26 22:30:42, Duration: 0:04:52.276186, Max Elevation: 75.98 degrees
Start: 2008-01-27 09:05:29, End: 2008-01-27 09:10:04, Duration: 0:04:34.933894, Max Elevation: 51.33 degrees
Start: 2008-01-27 22:02:57, End: 2008-01-27 22:07:11, Duration: 0:04:13.465010, Max Elevation: 39.51 degrees
Start: 2008-01-28 08:43:05, End: 2008-01-28 08:46:25, Duration: 0:03:19.363031, Max Elevation: 28.70 degrees
Start: 2008-01-28 10:17:11, End: 2008-01-28 10:19:23, Duration: 0:02:12.379487, Max Elevation: 23.00 degrees
Start: 2008-01-28 21:40:52, End: 2008-01-28 21:42:48, Duration: 0:01:56.812080, Max Elevation: 22.26 degrees
Start: 2008-01-28 23:13:40, End: 2008-01-28 23:17:06, Duration: 0:03:26.401898, Max Elevation: 29.63 degrees
Start: 2008-01-29 09:52:55, End: 2008-01-29 09:57:13, Duration: 0:04:17.643784, Max Elevation: 40.99 degrees
Start: 2008-01-29 22:50:05, End: 2008-01-29 22:54:42, Duration: 0:04:37.404329, Max Elevation: 53.27 degrees
Start: 2008-01-30 09:29:30, End: 2008-01-30 09:34:23, Duration: 0:04:53.084912, Max Elevation: 78.75 degrees
Start: 2008-01-30 22:26:54, End: 2008-01-30 22:31:48, Duration: 0:04:53.540592, Max Elevation: 81.25 degrees
Start: 2008-01-31 09:06:35, End: 2008-01-31 09:11:14, Duration: 0:04:39.452115, Max Elevation: 55.03 degrees
Start: 2008-01-31 22:04:06, End: 2008-01-31 22:08:26, Duration: 0:04:20.835198, Max Elevation: 42.34 degrees
Start: 2008-02-01 08:44:12, End: 2008-02-01 08:47:44, Duration: 0:03:32.279235, Max Elevation: 30.49 degrees
Start: 2008-02-01 10:18:41, End: 2008-02-01 10:20:22, Duration: 0:01:40.920474, Max Elevation: 21.64 degrees
Start: 2008-02-01 21:41:55, End: 2008-02-01 21:44:20, Duration: 0:02:25.066725, Max Elevation: 23.71 degrees
Start: 2008-02-01 23:15:03, End: 2008-02-01 23:18:16, Duration: 0:03:12.900221, Max Elevation: 27.90 degrees
Start: 2008-02-02 09:54:19, End: 2008-02-02 09:58:29, Duration: 0:04:09.584726, Max Elevation: 38.16 degrees
Start: 2008-02-02 22:51:29, End: 2008-02-02 22:56:02, Duration: 0:04:32.596550, Max Elevation: 49.40 degrees
Start: 2008-02-03 09:30:56, End: 2008-02-03 09:35:47, Duration: 0:04:51.824287, Max Elevation: 72.90 degrees
