start_time,end_time,duration,max_elevation,slant_range_km,cloud_cover,atmospheric_attenuation_db,turbulence_cn2,turbulence_loss_db,total_loss_db,data_rate_bps,eb_n0_db,network_available
2023-06-01 04:21:20,2023-06-01 04:24:48,0:03:28.412549,28.5,3137.541749030689,1.939894745710872,627.5083498061379,2.0011881473491168e-12,0.0,953.8145457619905,inf,inf,False
2023-06-01 16:33:34,2023-06-01 16:38:08,0:04:33.821689,43.59,908.8311759274798,1.978805278064516,181.76623518549596,2.0011881473491168e-12,0.0,498.47762117177655,inf,inf,False
2023-06-02 05:42:18,2023-06-02 05:44:49,0:02:30.909381,23.88,3804.554410973659,2.0,760.9108821947318,2.0011881473491168e-12,0.0,1090.694521502955,inf,inf,False
2023-06-02 16:19:48,2023-06-02 16:24:49,0:05:01.228983,68.02,-2372.430477081341,2.0,0.0,2.0011881473491168e-12,,,,,False
2023-06-03 05:28:05,2023-06-03 05:32:08,0:04:02.914675,34.53,2250.551698009786,2.0,450.1103396019572,2.0011881473491168e-12,0.0,775.3336827926103,inf,inf,False
2023-06-03 16:06:14,2023-06-03 16:11:19,0:05:04.905970,78.44,-3335.9840887740506,2.0,0.0,2.0011881473491168e-12,,,,,False
2023-06-04 05:14:13,2023-06-04 05:19:00,0:04:47.075570,52.2,-337.1330578984674,1.8780658420972225,0.0,2.0011881473491168e-12,,,,,False
2023-06-04 15:52:54,2023-06-04 15:57:39,0:04:44.985137,50.5,-95.64988342935126,1.5913467962386365,0.0,2.0011881473491168e-12,,,,,False
