Month,Total_Data_Transmitted_(Gbits),Maximum_Possible_Data_(Gbits),Percentage_Data_Throughput_(%)
2023-06,30212.456963319062,621325.0,4.862585114604927
2023-07,33753.67980378699,641240.0,5.2638138300460025
2023-08,41219.51226703607,643585.0,6.404672617763943
2023-09,15759.846810438385,613960.0,2.56691752075679
2023-10,75962.89875055359,638260.0,11.901560296831008
2023-11,40296.33482458341,616915.0,6.531910364407318
2023-12,65997.2544429698,633620.0,10.415904555249172
2024-01,52263.492762841044,631705.0,8.273401787676375
2024-02,54719.5128616851,586510.0,9.329681141273822
2024-03,36131.822371506474,633900.0,5.6999246523909886
2024-04,46595.86129163083,606550.0,7.6821138062205625
2024-05,28827.400698581874,620840.0,4.643289849008098
